AECX1101,AECX1102,AECX1107,AZZX0011,AECX1104
4403000000022986,章阁,0755-29425135,福城街道,龙华区福城街道章阁社区志扬广场一楼
4403000000022987,桔塘,0755-28164280,福城街道,龙华区福城街道大水坑社区观光路与福前路红绿灯交汇处（福前路109号）
4403000000022988,福民,0755-28027595,福城街道,龙华区福城街道悦兴路186号
4403000000022989,白芒,0755-26517627,西丽街道,南山区西丽街道白芒社区北55号二楼
4403000000022990,大磡,0755-26527723,西丽街道,南山区大磡实业大楼4楼
4403000000022991,丽城,0755-26514160,西丽街道,南山区西丽众冠大厦809
4403000000022992,丽湖,0755-86301351,西丽街道,南山区西丽湖路平丽商业街4188
4403000000022993,留仙,0755-86164006,西丽街道,南山区西丽留仙居南A区1栋
4403000000022994,麻磡,0755-26973979,西丽街道,南山区西丽麻磡南路13号
4403000000022995,曙光,0755-26545623,西丽街道,南山区西丽茶光村冠铭雅苑3栋2楼
4403000000022996,松坪山,0755-26631923,西丽街道,南山区高新北区单身公寓B35栋一楼
4403000000022997,西丽,0755-26627637,西丽街道,南山区西丽居委会综合楼2楼
4403000000022998,新围,0755-26622404,西丽街道,南山区西丽新围村71栋一楼
4403000000022999,阳光,0755-29810005,西丽街道,南山区西丽百旺工业园25栋一楼
4403000000023000,沙头角,0755-25550657,沙头角街道,盐田区园林路8-3号
4403000000023001,东和,0755-25358313,沙头角街道,盐田区官下路2号诗宁里16栋
4403000000023002,桥东,0755-25251440,沙头角街道,盐田区沙头角田荣路15号
4403000000023003,田心,0755-25355461,沙头角街道,盐田区沙头角田心东路20号
4403000000023004,田东,0755-25219262,海山街道,盐田区云汉路9号
4403000000023005,茜坑,0755-28012728,福城街道,龙华区观澜大道157号
4403000000023006,桂花,0755-27995788,观澜街道,龙华区观澜大道桂花路139号
4403000000023007,海涛,0755-25263693,海山街道,盐田区海涛路海涛花园4栋
4403000000023008,君子布,0755-28161042,观澜街道,龙华区观澜街道环观南路66号
4403000000023009,沿港,0755-82637725,盐田街道,盐田区深盐路1117号海川阁A座二楼
4403000000023010,东海,0755-82633048,盐田街道,盐田区盐田路85号
4403000000023011,明珠,0755-25280832,盐田街道,盐田区明珠大道61号
4403000000023012,永安,0755-25218942,盐田街道,盐田区四村老塘108号永安社区服务综合楼
4403000000023013,海桐,0755-22327034,盐田街道,盐田区中青路9号金山碧海花园1栋1楼
4403000000023014,大梅沙,0755-25060085,梅沙街道,盐田区大梅沙社区综合服务楼
4403000000023015,滨海,0755-25255396,梅沙街道,盐田区上成路8号滨海社区综合楼
4403000000023016,牛湖,0755-21038384,观澜街道,龙华区观澜街道牛湖坳顶村222号
4403000000023017,东海岸,0755-25436682,梅沙街道,盐田区大梅沙环碧路208号
4403000000023071,上合,0755-29631202,新安街道,宝安区宝城33区新安三路158号
4403000000023072,甲岸,0755-27750345,新安街道,宝安区宝城7区宝民一路66栋紫岸阁1-3楼
4403000000023073,翻身,0755-27826246,新安街道,宝安区宝城47区自由路南一巷25号
4403000000023074,安乐,0755-27883038,新安街道,宝安区宝城42区乐平路21号
4403000000023075,龙井,0755-27787814,新安街道,宝安区宝城2区前进一路1号湖滨花园27栋前面
4403000000023076,库坑,0755-28088012,观澜街道,龙华区观澜街道库坑同富裕工业区8号
4403000000023077,大浪,0755-27570036,新安街道,宝安区宝城28区新安三路一巷
4403000000023078,兴东,0755-27865590,新安街道,宝安区新安街道留仙二路二巷18号
4403000000023018,布心,0755-27829006,新安街道,宝安区宝城74区布心二村西一巷1号旁边
4403000000023019,上川,0755-27967800,新安街道,宝安区宝城35区安华一巷15号
4403000000023079,文雅,0755-27831287,新安街道,宝安区新安街道34-1区永联路品尚居105号
4403000000023020,黎光,0755-28163498,观澜街道,龙华区观澜街道黎光社区新围199号
4403000000023021,建安,0755-27758708,新安街道,宝安区宝城10区冠城世家冠春一街蟠龙轩1092-1095号
4403000000023022,灵芝园,0755-27871812,新安街道,宝安区宝城19区灵新一巷88栋101
4403000000023023,新澜,0755-27983274,观澜街道,龙华区观澜街道观光路1305号观澜行政服务大厅C栋
4403000000023024,文汇,0755-27806321,新安街道,宝安区宝城30区文汇一街28号百花苑
4403000000023025,海乐,0755-27843086,新安街道,宝安区宝城39区新安一路3019号海乐社区工作站
4403000000023026,海裕,0755-23503231,新安街道,宝安区新安街道玉律路163号
4403000000023027,海华,0755-27844411,新安街道,宝安区48区海华一路海华社区办公大楼
4403000000023028,海旺,0755-29958626,新安街道,宝安区宝城84区裕安一路3074号风临洲C栋二楼
4403000000023029,海富,0755-27575431,新安街道,宝安区宝城45区自由路11号
4403000000023030,新乐,0755-27895131,新安街道,宝安区宝城37区龙泉一路100号
4403000000023031,固戌,0755-27481435,西乡街道,宝安区西乡固戍社区固戍一路890号三、四楼
4403000000023032,大水田,0755-23779216,观澜街道,龙华区观澜街道裕新路328号
4403000000023033,广培,0755-28188638,观澜街道,龙华区观澜街道广培北路57号
4403000000023034,乐群,0755-27903487,西乡街道,西乡街道乐群二路16号乐群雅居三楼
4403000000023035,盐田,0755-27366733,西乡街道,宝安区西乡街道盐田社区金海路盐田股份综合楼七楼
4403000000023036,大富,0755-21040607,观澜街道,龙华区观澜街道桂月路314号（陂老小区内）
4403000000023037,河西,0755-27934128,西乡街道,宝安区西乡街道建安二路河西金晖苑111号
4403000000023038,臣田,0755-27585189,西乡街道,宝安区西乡街道宝民二路臣田工业区综合楼A栋臣田党群服务中心
4403000000023039,庄边,0755-27935789,西乡街道,宝安区西乡街道庄边社区金庄园30号
4403000000023040,蚝业,0755-27900288,西乡街道,宝安区西乡街道兴业路2010号豪业华庭D栋二楼
